OD_id,matching_prob,ride_distance,detour_distance,shared_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker
446,0.9961050030192533,8536.794824813418,1096.4774214484903,4575.464344896623,8931.70002415694,1491.382620792023,4619.833654750306,8086.698121167858,646.380717802934,3181.206512999918
447,0.9967357438780672,3680.7377618575983,648.5717203436559,2883.9264901797924,4281.459008489224,1249.2929669752807,2947.640635208118,3210.599044225335,178.43300271139302,1774.659068597555
448,0.9779516858108264,1718.9766038614205,506.590310216701,1216.3564196765733,2365.430079772405,1153.043786127688,1238.265172223374,1246.5288923947223,34.14259875000333,708.9901306906798
449,0.9985093481643966,25073.63086816846,1431.7232753297676,7700.783821284449,25412.256893073565,1770.3493002349255,8091.381458930941,24544.71224250414,902.8046496654606,5283.361248001597
450,0.3302695236748202,3654.604432370151,45.92063388774216,1044.2792907546614,3666.768079212065,58.08428072965554,365.0092513195706,3608.6837984824087,0.0,755.7079942708755
451,0.7466001709512247,3900.908659115111,198.6601627765582,2462.2610320222916,4015.3985147656444,313.15001842709256,1345.0749845025148,3738.441638716378,36.19314237782462,1764.4155519465037
452,0.6606099647110861,3746.563158548823,304.2897786526316,2191.7072894551657,3777.9572098622793,335.68382996608807,1172.2377132142303,3556.022843523756,113.74946362756418,1526.3236062951257
453,0.9256731960353706,12148.636649554623,1078.5407922683337,6267.36634906914,12210.533619714824,1140.4377624285385,5502.575227213257,11405.063135836826,334.9672785505374,2679.6482543240563
454,0.9295296892546157,9936.946537065245,824.0784583835242,6423.034030722445,10477.665489981904,1364.7974113001826,4506.492055395109,9252.484577453884,139.61649877216328,4162.975242751653
455,0.9331800558256838,6938.0288359921815,653.0985523919667,3827.4523823252903,7213.359510525444,928.4292269252304,2747.669916894732,6336.156057175609,51.22577357539368,2046.220512203093
456,0.8470356300736156,10175.594365346291,991.416216267377,4060.306345670145,10245.430919891303,1061.2527708123898,3344.7279682610956,9382.055837638487,197.87768855957268,1559.327709369147
457,0.5837565133858746,14503.823169770974,507.67237598169015,4400.234805290642,14580.199160375385,584.0483665861005,2908.0541267566246,14000.850597548797,4.699803759513357,1895.867790541928
458,0.99952531223681,9394.9664476012,1274.6149100964037,5658.614911768602,9462.432205307134,1342.080667802326,5988.147887214457,8636.435105449356,516.0835679445577,2274.1701739344526
459,0.9995455397603755,11583.552266588287,1345.1899966383457,5405.9285092315495,11877.072625988254,1638.710356038305,5920.780770480185,10847.023182396955,608.6609124470104,2744.7948790505375
